date,temperature
2020-01-01,-3.7
2020-01-02,-2.8
2020-01-03,1.2
2020-01-04,-2.6
2020-01-05,-3.2
2020-01-06,-1.6
2020-01-07,2.5
2020-01-08,2.3
2020-01-09,1.8
2020-01-10,1.3
2020-01-12,-2.1
2020-01-14,-3.7
2020-01-15,-3
2020-01-16,-4.7
2020-01-17,-5.9
2020-01-18,-6.4
2020-01-19,-2.4
2020-01-20,1.6
2020-01-21,0.2
2020-01-22,-4.3
2020-01-23,-4.4
2020-01-24,-0.5
2020-01-25,-5.6
2020-01-26,-7.4
2020-01-27,-10.2
2020-01-28,-12.1
2020-01-29,-9.1
2020-01-30,-6.4
2020-01-31,-6.6
2020-02-01,-7
2020-02-02,-3.2
2020-02-03,-2.9
2020-02-04,-5.2
2020-02-05,-6.1
2020-02-06,-3.8
2020-02-07,0.4
2020-02-08,3.7
2020-02-09,0.9
2020-02-10,0
2020-02-11,1.1
2020-02-12,0.8
2020-02-13,-0.2
2020-02-14,-2.5
2020-02-15,-4.3
2020-02-16,-5.2
2020-02-17,0
2020-02-18,-1.5
2020-02-19,-4.6
2020-02-20,-3.5
2020-02-21,-0.3
2020-02-22,1.9
2020-02-23,-0.4
2020-02-24,-1.7
2020-02-25,-3.6
2020-02-26,-4.9
2020-02-27,-1.9
2020-02-28,-5.3
2020-02-29,-3.7
2020-03-01,-4.1
2020-03-02,-3
2020-03-03,-2.5
2020-03-04,-4.7
2020-03-05,-5.2
2020-03-06,-2.6
2020-03-07,0.7
2020-03-08,-0.8
2020-03-09,1.7
2020-03-10,-3.2
2020-03-11,-5.9
2020-03-12,-4.6
2020-03-13,-7.9
2020-03-14,-6.9
2020-03-15,-4
2020-03-16,-4.3
2020-03-17,-3.5
2020-03-18,-3
2020-03-19,-5.8
2020-03-20,-5.2
2020-03-21,-1.3
2020-03-22,2.3
2020-03-23,2.9
2020-03-24,3.5
2020-03-25,1.6
2020-03-26,2.2
2020-03-27,0.9
2020-03-28,-3.5
